ResponseId,White_hits,White_crs,White_fas,White_misses,Black_hits,Black_crs,Black_fas,Black_misses,Latinx_hits,Latinx_crs,Latinx_fas,Latinx_misses,race,age,IPAddress,gender,SDO_total,total,stimGender
R_01WHU9buNL8Qp3j,17,14,10,31,27,13,11,21,22,14,10,26,1,27,184.83.102.228,1,16,216,female
R_0VWOAMcpcuJ8dJ7,12,18,6,36,26,12,12,22,21,14,10,27,1,29,71.234.233.198,1,16,216,female
R_12DSqaynDBZlJct,15,19,5,33,20,14,10,28,27,14,10,21,1,30,108.41.51.195,1,18,216,female
R_1BOXE6R9WtKYyiR,19,16,8,29,24,12,12,24,43,1,23,5,1,30,98.207.213.243,1,17,216,female
R_1EasFZeUnnI4KGK,21,16,8,27,9,20,4,39,21,14,10,27,1,22,71.167.142.207,2,21,216,female
R_1hzododE7UEGhui,8,23,1,40,15,20,4,33,14,18,6,34,1,28,108.28.61.227,1,17,216,female
R_1ifXDPo569W0pJ2,15,21,3,33,21,22,2,27,21,20,4,27,1,37,207.162.132.74,1,60,216,female
R_1IhfgP9W7G85vAP,5,22,2,43,23,15,9,25,27,12,12,21,1,32,74.67.45.4,2,16,216,female
R_1IuSiglazvK4O88,24,12,12,24,39,5,19,9,26,13,11,22,1,38,217.138.255.204,1,52,216,female
R_1kLcTQaZKqhx2K9,31,11,13,17,23,16,8,25,21,13,11,27,1,24,71.91.144.186,1,18,216,female
R_1LFLofkfhahJOND,19,16,8,29,24,14,10,24,21,13,11,27,1,30,71.226.213.8,1,16,216,female
R_1LusuQohI8y68vS,14,23,1,34,23,15,9,25,25,16,8,23,1,32,68.108.235.5,1,60,216,female
R_1mdXSnfBeHSPClx,26,13,11,22,17,19,5,31,24,13,11,24,1,24,24.220.160.186,1,39,216,female
R_1Ny3Cpr6O4QPnAo,21,13,11,27,20,16,8,28,30,7,17,18,1,28,108.45.65.195,1,20,216,female
R_1OBReqlSqNXlIYY,8,20,4,40,18,16,8,30,20,16,8,28,1,40,50.89.234.220,1,19,216,female
R_1ojUc687vmh9AwQ,12,19,5,36,16,20,4,32,26,10,14,22,1,36,65.60.211.5,2,31,216,female
